Service,Date,Hour,Download,Upload,Network
Speedtest,17-11-2022,14:08,4.46331316196081,2.7740700458624388,Universidade Federal De Vicosa
Fast,17-11-2022,14:09,13,7.8,Universidade Federal De Vicosa
Brasil Banda Larga,17-11-2022,14:10,14.89,3.39,Universidade Federal De Vicosa
Speedtest,17-11-2022,15:36,243.97511301086394,123.06712501575208,Claro Brazil
Fast,17-11-2022,15:37,560,200,Claro Brazil
Brasil Banda Larga,17-11-2022,15:38,448.03,83.51,Claro Brazil
Speedtest,01-12-2022,15:13,272.2479823392832,219.27031406187348,Claro Brazil
Fast,01-12-2022,15:13,480,140,Claro Brazil
Brasil Banda Larga,01-12-2022,15:14,417.54,68.61,Claro Brazil
Speedtest,01-12-2022,15:45,257.60107934240347,191.23079212939234,Claro Brazil
Fast,01-12-2022,15:45,460,300,Claro Brazil
Brasil Banda Larga,01-12-2022,15:46,190.78,135.97,Claro Brazil
Speedtest,01-12-2022,16:17,270.0196087867721,207.60511436833804,Claro Brazil
Fast,01-12-2022,16:18,330,300,Claro Brazil
Brasil Banda Larga,01-12-2022,16:19,414.43,90.44,Claro Brazil
Speedtest,01-12-2022,16:50,117.91996456687224,216.2832452884621,Claro Brazil
Fast,01-12-2022,16:50,610,320,Claro Brazil
Brasil Banda Larga,01-12-2022,16:51,313.08,138.83,Claro Brazil
Speedtest,01-12-2022,17:22,219.8997918815878,173.57165861054332,Claro Brazil
Fast,01-12-2022,17:23,440,270,Claro Brazil
Brasil Banda Larga,01-12-2022,17:24,193.52,133.72,Claro Brazil
Speedtest,01-12-2022,17:55,378.197556129119,250.9919726547636,Claro Brazil
Fast,01-12-2022,17:56,290,320,Claro Brazil
Brasil Banda Larga,01-12-2022,17:57,367.21,139.94,Claro Brazil
Speedtest,01-12-2022,18:28,278.86770754346895,198.559912560622,Claro Brazil
Fast,01-12-2022,18:29,400,290,Claro Brazil
Brasil Banda Larga,01-12-2022,18:29,420.44,87.30,Claro Brazil
Speedtest,01-12-2022,19:00,287.0721231018141,242.89048628273852,Claro Brazil
Fast,01-12-2022,19:01,690,370,Claro Brazil
Brasil Banda Larga,01-12-2022,19:02,143.37,88.77,Claro Brazil
Speedtest,01-12-2022,19:33,326.40540762913537,235.02219070150525,Claro Brazil
Fast,01-12-2022,19:34,1300,350,Claro Brazil
Brasil Banda Larga,01-12-2022,19:35,272.83,143.24,Claro Brazil
Speedtest,01-12-2022,20:06,398.8003955876446,238.0468283010234,Claro Brazil
Fast,01-12-2022,20:06,660,340,Claro Brazil
Brasil Banda Larga,01-12-2022,20:07,486.20,93.17,Claro Brazil
Speedtest,01-12-2022,20:38,221.58968334906402,217.0787951983391,Claro Brazil
Fast,01-12-2022,20:38,400,230,Claro Brazil
Brasil Banda Larga,01-12-2022,20:39,221.53,91.22,Claro Brazil
Speedtest,02-12-2022,08:37,317.7466823251981,216.526670875809,Claro Brazil
Fast,02-12-2022,08:38,590,200,Claro Brazil
Brasil Banda Larga,02-12-2022,08:39,444.15,96.39,Claro Brazil
Speedtest,02-12-2022,09:10,286.02633116394986,135.47089725814095,Claro Brazil
Fast,02-12-2022,09:10,360,240,Claro Brazil
Brasil Banda Larga,02-12-2022,09:11,189.46,102.66,Claro Brazil
Speedtest,02-12-2022,09:42,200.2795905207478,239.3109357935586,Claro Brazil
Fast,02-12-2022,09:42,520,310,Claro Brazil
Brasil Banda Larga,02-12-2022,09:43,395.52,136.77,Claro Brazil
Speedtest,02-12-2022,10:14,304.0747555240597,214.16947215247177,Claro Brazil
Fast,02-12-2022,10:14,420,280,Claro Brazil
Brasil Banda Larga,02-12-2022,10:15,196.21,145.70,Claro Brazil
Speedtest,02-12-2022,10:46,357.49493926415795,228.02076912390666,Claro Brazil
Fast,02-12-2022,10:47,520,210,Claro Brazil
Brasil Banda Larga,02-12-2022,10:48,406.36,93.18,Claro Brazil
Speedtest,02-12-2022,11:19,368.1259232294419,220.85290761780587,Claro Brazil
Fast,02-12-2022,11:19,420,260,Claro Brazil
Brasil Banda Larga,02-12-2022,11:20,267.10,105.31,Claro Brazil
Speedtest,02-12-2022,11:51,329.8081631233671,237.9901104916769,Claro Brazil
Fast,02-12-2022,11:51,500,290,Claro Brazil
Brasil Banda Larga,02-12-2022,11:52,303.40,105.01,Claro Brazil
Speedtest,02-12-2022,12:23,171.75613611561488,190.74623268677803,Claro Brazil
Fast,02-12-2022,12:23,400,280,Claro Brazil
Brasil Banda Larga,02-12-2022,12:24,261.49,148.67,Claro Brazil
Speedtest,02-12-2022,12:55,295.49295113328844,213.97172429658752,Claro Brazil
Fast,02-12-2022,12:55,420,260,Claro Brazil
Brasil Banda Larga,02-12-2022,12:56,334.21,95.57,Claro Brazil
Speedtest,02-12-2022,13:27,339.06014128550845,232.23267681796798,Claro Brazil
Fast,02-12-2022,13:27,440,310,Claro Brazil
Brasil Banda Larga,02-12-2022,13:28,413.52,88.06,Claro Brazil
Speedtest,02-12-2022,13:59,261.9411161570873,252.34790581398303,Claro Brazil
Fast,02-12-2022,13:59,500,280,Claro Brazil
Brasil Banda Larga,02-12-2022,14:00,331.43,121.55,Claro Brazil
Speedtest,02-12-2022,14:31,339.2458577784153,152.40974142949582,Claro Brazil
Fast,02-12-2022,14:31,540,300,Claro Brazil
Brasil Banda Larga,02-12-2022,14:33,275.78,92.39,Claro Brazil
Speedtest,02-12-2022,19:12,394.10374873354203,258.14317794954593,Claro Brazil
Fast,02-12-2022,19:13,670,380,Claro Brazil
Brasil Banda Larga,02-12-2022,19:14,455.15,93.75,Claro Brazil
Speedtest,02-12-2022,19:45,165.78161128144816,243.4138370732958,Claro Brazil
